Input	Target	Prediction
To each operation you assign the users and vehicles that are authorized to perform it, priorities that determine its place in the work queue, and the voice functions to which the operation belongs. For priority, the lower the number, the higher the priority; the highest being priority is 1. Also, a new operation code will not take effect without additional configuration.	A cada operación se le asignan los usuarios y vehículos que están autorizados para realizarla, las prioridades que determinan su lugar en la cola de trabajo y las funciones de voz a las que pertenece la operación. En cuanto a la prioridad, cuanto más bajo sea el número, mayor será la prioridad; la prioridad más alta es 1. Además, un nuevo código de operación no tendrá efecto sin una configuración adicional.	A cada operación se le asignan los usuarios y vehículos que están autorizados para realizarla, las prioridades que determinan su lugar en la cola de trabajo y las funciones de voz a las que pertenece la operación. En cuanto a la prioridad, cuanto menor sea el número, mayor será la prioridad; la prioridad más alta es 1. Además, un nuevo código de operación no tendrá efecto sin una configuración adicional.
Clear all values in this field	Borrar todos los valores en este campo	Borrar todos los valores en este campo
Configuration/Pick Labels	Configuración/Etiquetas de Surtido	Configuración/Etiquetas de Surtido
Allow operators to receive items that are not on the receipt?	¿Permitir que el operador reciba artículos que no están especificados en el recibo?	¿Permitir que el operador reciba artículos que no están especificados en el recibo?
Post-Allocation Action	Acción Posterior a la Asignación	Acción de Post-asignación
In what sequence should the eligible picks be considered for cartonization? Drag selected items to reorder.	¿En qué secuencia deben considerarse los surtidos elegibles para la cartonización? Arrastre los elementos seleccionados para reordenarlos.	¿En qué secuencia deben considerarse los surtidos elegibles para la cartonización? Arrastre los elementos seleccionados para reordenarlos.
LMS Current Work Order Line Assignment Quantity	Cantidad de asignación de línea de orden de trabajo actual de LMS	Cantidad de Asignación de Línea de Orden de Trabajo Actual LMS
Are you sure?	¿Está seguro?	¿Está seguro?
Do you want to clear the personal information about customers, suppliers, clients, and users when archiving data?	¿Desea borrar la información personal sobre compradores, proveedores, Compradores y usuarios al archivar datos?	¿Desea borrar la información personal sobre compradores, proveedores, Compradores y usuarios al archivar datos?
Maximum Capacity	Capacidad Máxima	Capacidad Máxima
Validate the 18-digit serial shipping container bar code (SSCC) assigned to pallets?	¿Validar el código de barras de 18 dígitos del contenedor de envío serial (SSCC) asignado a los pallets?	¿Validar el código de barras de 18 dígitos del contenedor de envío serial (SSCC) asignado a los pallets?
Add New Auto Move	Agregar Nuevo Movimiento Automático	Agregar Nuevo Movimiento Automático
Should the system emit an audible warning in response to an invalid entry in the Process Inventory Movement window?	¿Debe el sistema emitir una advertencia audible en respuesta a una entrada no válida en la ventana de Procesar Movimiento de Inventario?	¿Debe el sistema emitir una advertencia audible en respuesta a una entrada no válida en la ventana de Procesar Movimiento de Inventario?
Set up your inventory footprints. At least one is required.	Configurar las huellas del inventario. Se requiere al menos uno.	Configurar las huellas del inventario. Se requiere al menos uno.
Optional settings used if Pallet Control and Slotting are installed to achieve the optimum placement of product in your facility.	Configuraciones opcionales utilizadas si el control de pallets y el slotting están instalados para lograr la colocación óptima de productos en su instalación.	Configuraciones opcionales utilizadas si el control de pallets y el slotting están instalados para lograr la colocación óptima de productos en su instalación.
Language Code	Código de Idioma	Código del Idioma
Open in Maintenance	Abrir en Mantenimiento	Abrir en Mantenimiento
Default Search	Búsqueda Predeterminada	Búsqueda Predeterminada
Alternate Item	Artículo Alternativo	Artículo Alternativo
Load Attribute One	Atributo de Carga Uno	Atributo de Carga Uno
Default Origin Code	Código Origen Predeterminado	Código Origen Predeterminado
Duty Stamp Flag	Bandera de Sello de Arancel	Bandera de Sello de Arancel
Assign optional home work area to this device which is used by RF directed work to draw user back to home work area if work is performed in another work area.	Asigne un área de trabajo opcional a este dispositivo, la cual es utilizada por el trabajo dirigido por RF para regresar al usuario al área de trabajo principal si se realiza trabajo en otra área de trabajo.	Asigne un área de trabajo opcional a este dispositivo, la cual es utilizada por el trabajo dirigido por RF para regresar al usuario al área de Trabajo principal si se realiza trabajo en otra área de actividad.
Reported Quantity	Cantidad Reportada	Cantidad Reportada
Do you have items that need to be packed into a sensitive item carton before they can be packed into a carton with other items?	¿Tiene artículos que deben empacarse en un cartón de artículo sensible antes de poder empacarlos en un cartón con otros artículos?	¿Se tienen artículos que deben ser empacados en un cartón de artículos frágiles antes de que puedan ser empacadas en un cartón con otros artículos?
Disassembly Quantity	Cantidad de Desarmado	Cantidad de Desarmado
Remainder Display Line Quantity	Cantidad Remanente en la Línea de Visualización	Mostrar Cantidad de Línea Remanente
Inventory Attribute String10	Atributo de Inventario de Cadena 10	Atributo de Inventario de Cadena 10
Currency Grouping Character	Carácter de Agrupación de Divisas	Carácter de Agrupación de Divisa
Inventory Attribute Integer3	Atributo de Inventario de Entero 3	Atributo de Inventario de Entero 3
Instruction Actions	Acciones de Instrucción	Acciones de Instrucción
Fluid Loading	Carga Fluida	Carga Fluida
Count Attributes	Atributos de Conteo	Atributos de Conteo
Add New Supplier	Agregar Nuevo Proveedor	Agregar Nuevo Proveedor
Set how many times and how often the system attempts to fill a replenishment.	Configure cuántas veces y con qué frecuencia el sistema intenta llenar un reabasto.	Configure cuántas veces y con qué frecuencia el sistema intenta llenar un reabasto.
Attribute 3	Atributo 3	Atributo 3
Absolute Order Inventory Window Unit	Unidad de Ventana de Inventario de Orden Absoluta	Unidad de Ventana de Inventario de Orden Absoluta
Location Lock Code	Código de Bloqueo de Ubicación	Código de Bloqueo de Ubicación
Triggered Replenishment Work Groupings	Agrupaciones de Trabajo de Reabastos Activado	Agrupaciones de Trabajo de Reabastos Activado
Should the user be required to enter a reason code for order changes?	¿Debería ser obligatorio que el usuario introduzca un código de razón para los cambios en la orden?	¿Debería ser obligatorio que el usuario introduzca un código de razón para los cambios en la orden?
Self Uri	Auto Uri	Auto Uri
Storage Areas	Áreas de Almacenamiento	Áreas de Almacenamiento
Is the zone used for pre-staging picked inventory until outbound work sequencing unlocks the work that transfers the inventory to staging?	¿Se utiliza esta zona como pre-stage del inventario surtido hasta que la secuenciación del trabajo de salida desbloquee el trabajo que transfiera el inventario a la zona de stage?	¿Se utiliza esta zona como pre-stage del inventario surtido hasta que la secuenciación del trabajo de salida desbloquee el trabajo que transfiera el inventario a la zona de stage?
Are you sure you want to delete the following search: <bfilterName}</b>? It is favorited by {favoritedBy} user(s). They will lose access to it.	¿Está seguro de que desea eliminar la siguiente búsqueda:<bfilterName}</b>? {favoritedBy} usuarios la marcaron como favorita y perderán el acceso a esta.	¿Está seguro de que desea eliminar la siguiente búsqueda:<bfilterName}</b>? {favoritedBy} usuarios la marcaron como favorita y perderán el acceso a esta.
Equipment Restriction Scope	Alcance de Restricción de Equipos	Alcance de Restricción del Equipo
Allocate Wave	Asignar Ola	Asignar Ola
What is the percentage of popup iterations to decrement during complex cartonizations?	¿Cuál es el porcentaje de iteraciones emergentes a disminuir durante cartonizaciones complejas?	¿Cuál es el porcentaje de iteraciones emergentes a disminuir durante cartonizaciones complejas?
How many units are on a pack?	¿Cuántas unidades hay en un paquete?	¿Cuántas unidades hay en un paquete?
Inventory Attribute Text 17	Atributo de Inventario - Texto 17	Atributo de Inventario - Texto 17
Is the operator required to confirm the spoken location?	¿Se requiere que el operador confirme la ubicación verbal?	¿Se requiere que el operador confirme la ubicación verbal?
Allowed Cancellations	Cancelaciones Permitidas	Cancelaciones Permitidas
Add New Directed Move	Agregar Nuevo Movimiento Dirigido	Agregar Nuevo Movimiento Dirigido
Device Code	Código de Dispositivo	Código de Dispositivo
Zone Movement Associations	Asociaciones de Movimiento de Zona	Asociaciones de Zona de Movimiento
Inventory Attribute Text 3	Atributo de Inventario - Texto 3	Atributo de Inventario - Texto 3
Date Code	Código de Fecha	Código de Fecha
Now it is time to configure your facility's Pickup & Deposit Locations. The P&D locations are used to temporary hold inventory. A P&D location is typically used as a transfer site for material handlers.	Ahora es el momento de configurar las Ubicaciones de Recogida y Depósito de su instalación. Las ubicaciones de P&D se utilizan para contener temporalmente el inventario. Una ubicación de P&D se usa típicamente como un sitio de transferencia para los manipuladores de material.	Ahora es el momento de configurar las Ubicaciones de Recogida y Depósito de su instalación. Las ubicaciones de P&D se utilizan para contener temporalmente el inventario. Una ubicación de P &D generalmente se utiliza como un sitio de transferencia para controladores de material.
Should operators be required to count back the remaining quantity of the picked item in the entire location?	¿Debería ser obligatorio que el operador haga un conteo retroactivo de la cantidad restante del artículo surtido en toda la ubicación?	¿Debería ser obligatorio que el operador haga un conteo retroactivo de la cantidad restante del artículo surtido en toda la ubicación?
Prompt RF operators to receive more when received quantity matches the expected quantity?	¿Solicitar a los operadores de RF que reciban más cuando la cantidad recibida coincide con la cantidad esperada?	¿Solicitar a los operadores de RF que reciban más cuando la cantidad recibida coincide con la cantidad esperada?
